"difficulty_average","favorites_count","free","name","rating_average","yarn_weight_description","knit_needle_size","crochet_hook","knit_needles","crochet_hook_size","craft","pattern_cat","pattern_parent_cat","pattern_parent_parent_cat","pull_date","n_langs","pull_day"
0,562,FALSE,"In My Stripes Era Scarf",0,"Fingering (14 wpi)","2½",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-17",2,17
0,201,FALSE,"Magiclands Wrap",0,"Fingering (14 wpi)","5 ",FALSE,TRUE,"F","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-17",2,17
0,510,FALSE,"Shorty Sock Set Vol. III",0,"Light Fingering","1 ",FALSE,TRUE,"B","Knitting","Ankle","Socks","Feet / Legs","2025-11-17",2,17
0,222,TRUE,"Self Striping Spectrum Beanie",0,"Bulky (7 wpi)","11 ",FALSE,TRUE,"L","Knitting","Beanie, Toque","Hat","Accessories","2025-11-17",1,17
0,140,TRUE,"Grande Neck Warmer",0,"Bulky (7 wpi)","10 ",FALSE,TRUE,"J","Knitting","Other","Neck / Torso","Accessories","2025-11-17",1,17
3.66666666666667,885,FALSE,"Palma Socks",4.66666666666667,"Light Fingering","1½",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-17",3,17
0,5863,FALSE,"Harvest Flower Sweater",0,"DK (11 wpi)","8 ",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-17",2,17
0,539,TRUE,"Reversible Neck",0,"Aran (8 wpi)","6 ",FALSE,TRUE,"G","Knitting","Cowl","Neck / Torso","Accessories","2025-11-17",1,17
2.97280593325093,51424,FALSE,"Cloud Sweater",4.7485172004745,"Bulky (7 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-17",14,17
0,1132,FALSE,"Winter subway",0,"Aran (8 wpi)","8 ",FALSE,TRUE,"H","Knitting","Cowl","Neck / Torso","Accessories","2025-11-17",1,17
0,2526,TRUE,"Pocket Edition",0,"Sport (12 wpi)","4 ",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-17",2,17
